injury_texts,num_categories,injury_categories
Injuries to Neck and Shoulder in the Form of a Calcified Herniation at the C3-4 Level with Impingement on Spinal Cord,3,Neck or Back;Shoulder;Spine
"Cut Hand and Subsequent Infection, Amputation of Right Lower Leg and Large Portion of Left Foot",4,Hand;Infection;Leg;Foot
"Neck and Lower Back Injuries, Abrasions to Knees, Arms, Neck, and Face",4,Back;Neck or Back;Arm;Joint
"Partial Loss of Smell and Taste, Dog Bite on Hand and Stomach",5,Nose;Mouth or Teeth;Hand;Stomach;Multiple Wounds
"Knee, Neck and Back Injuries, Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back",7,"Joint;Neck or Back;Face;Abdomen;Leg;Neck or Back;Hip, Pelvis"
Neck Spasms,1,Neck or Back
Aggravated Fibromyalgia,1,Fibromyalgia
Facial Disfigurement,1,Face
Cervical and Lumbar Pains,1,Neck or Back
"Shooting Pain in Right Hand, Neckand Shoulder Pain",4,Hand;Gunshot;Shoulder;Neck or Back
"Torn Cervical Muscle and Fibrosis, Dog Bite on Hand and Stomach",5,Neck or Back;Fibrosis;Hand;Stomach;Multiple Wounds
"Knee and Shoulder Pain, Cervical and Lower Lumbar Pain",4,Joint;Shoulder;Neck or Back;Spine
Neck Trauma,1,Neck or Back
"Survival and Wrongful Death Action, Cervical and Shoulder Sprain",4,Survival Action;Death;Shoulder;Neck or Back
"Broken Small Finger, Thumb, and Nose, Arm and Shoulder Pain",4,Finger;Nose;Arm;Shoulder
Leg Abrasions,1,Leg
"Unspecified Cervical and Lumbar Injuries, Head and Shoulder Injury",4,"Neck or Back;Spine;Shoulder;Head, Skull"
"Amputation of Right Lower Leg and Large Portion of Left Foot, Left Metatarsal Fractures, Left Ninth and Tenth Rib Fractures",3,Leg;Foot;Ribs
Swollen Face,1,Face
"Disfigurement of Knee and Leg, Unspecified Cervical and Lumbar Injuries",4,Joint;Leg;Neck or Back;Spine
"Neck and Shoulder Pain, Broken Small Finger, Thumb, and Nose",4,Shoulder;Neck or Back;Finger;Nose
"Torn Cervical Muscle and Fibrosis, Degenerative Changes and Disc Bulging at the L4-L5 and L5-S1 Levels in Back",3,Neck or Back;Fibrosis;Spine
Cervical Bulging Disc and Lumbar Bulging Disc,1,Spine
"Neck, Right Shoulder, and Right Arm Pain, Burn to Left Eye",5,Neck or Back;Shoulder;Arm;Eye;Burns
Lower Back and Chest Pains,2,Back;Breast or Chest
"Numbness in Right Arm, Hand and Leg, Degenerative Changes and Disc Bulging at the L4-L5 and L5-S1 Levels in Back",5,Arm;Hand;Leg;Spine;Neck or Back
Paralysis of Left Arm and Leg,2,Arm;Leg
Open Fracture to Leg,1,Leg
"Shooting Pain in Right Hand, Injuries to Head, Back, and Neck",4,"Hand;Gunshot;Neck or Back;Head, Skull"
Permanent Physical Disability,1,Disability
"Bruised Lung, Kidney, and Liver, Weakness and Loss of Reflex in the Ankle and Foot",5,Kidney;Lung;Liver;Joint;Foot
"Knee and Shoulder Pain, Injury to Thumb, Knees, and Thigh",4,Joint;Shoulder;Finger;Leg
"Bruised Lung, Kidney, and Liver",3,Kidney;Lung;Liver
Knee Abrasion and Swelling,1,Joint
"Temporomandibular Joint Dysfunction (Jaw and Neck Pain), Bruised Left Hip and Head",4,"Jaw;Neck or Back;Head, Skull;Hip, Pelvis"
"Knee, Neck, Back, and Hand Injuries, Injuries to Neck, Back, and Arm",4,Hand;Joint;Neck or Back;Arm
"Windshield Glass Embedded in Forehead and Arm, Cut Hand and Subsequent Infection",4,"Arm;Head, Skull;Hand;Infection"
"Contusions on Right Hand, Right Knee, Right Chest Wall, and Left Jaw, Grade II Whiplash with Motor and Sensory Loss",6,Hand;Joint;Breast or Chest;Jaw;Whiplash;Nerve System
"Injury to Forehead, Knees, and Clavicle, Left Metatarsal Fractures, Left Ninth and Tenth Rib Fractures",5,"Head, Skull;Joint;Clavicle;Foot;Ribs"
Seizure Disorder,1,Severe Disease
Migraines,1,"Head, Skull"
"Disfigurement and Infertility, Contusions on Hip, Back, and Leg",5,"Skin;Sexual Dysfunction;Leg;Neck or Back;Hip, Pelvis"
"Fractured Skull and Pelvis, Back Pain Traveling Down Leg",4,"Head, Skull;Hip, Pelvis;Leg;Neck or Back"
"Neck and Shoulder Injury, Annular Tear at the L5-S1 level in Back",3,Shoulder;Neck or Back;Spine
"Cut Hand and Subsequent Infection, Neck and Hand Sprain",3,Hand;Infection;Neck or Back
"Ulnar Nerve Irritation Causing Numbness in Three Fingers, Degenerative Arthritis of the Thumb",4,Wrist;Finger;Arthritis;Hand
"Injuries to Left Arm and Shoulder, Arm and Shoulder Pain",2,Arm;Shoulder
"Right Arm and Shoulder Pain, Unidentified Lower Back and Shoulder Pain",3,Arm;Shoulder;Neck or Back
"Moderate Muscular Injury to Neck and Shoulder, Grade II Whiplash with Motor and Sensory Loss",4,Shoulder;Neck or Back;Whiplash;Nerve System
"Third Degree Burns on Buttocks, Broken Small Finger, Thumb, and Nose",4,"Burns;Hip, Pelvis;Finger;Nose"
Chronic Headaches,1,"Head, Skull"
"Limited Mobility in Fingers and Knee, Lower Back Pain Radiating Into Left Hip and Leg",5,"Finger;Joint;Neck or Back;Hip, Pelvis;Leg"
"Severe Injuries to Head and Face, Soft Tissue Injury to Neck and Shoulders",5,"Face;Head, Skull;Shoulder;Neck or Back;Soft Tissue"
Pre-Existing Spondylosis Made Symptomatic by Accident,1,Spine
Unspecified Lower Back Injuries,1,Neck or Back
Contusion to Left Hip,1,"Hip, Pelvis"
Vision Problems,1,Eye
"Loss of Taste and Smell, Contusions to Hip, Foot and Toe",4,"Nose;Mouth or Teeth;Foot;Hip, Pelvis"
"Stomach and Back Injuries, Back Pain Traveling Down Leg",3,Stomach;Neck or Back;Leg
Strained Rotator Cuff,1,Shoulder
Limitation of Physical Capabilities,1,Other Damages
"Cervical and Lumbar Sprain/Strain, Moderate Muscular Injury to Neck and Shoulder",3,Neck or Back;Spine;Shoulder
Back Spasms,1,Neck or Back
"Unspecified Injury to Chest and Back, Cervical and Shoulder Sprain",3,Neck or Back;Breast or Chest;Shoulder
"Back, Neck, and Head Pain, Ulnar Nerve Irritation Causing Numbness in Three Fingers",4,"Neck or Back;Head, Skull;Wrist;Finger"
"Broken Teeth and Exposed Nerves, Bruising on Ear and Neck",4,Mouth or Teeth;Nerve System;Ear;Neck or Back
"Soft Tissue Injury to Knee and Back, Contusions on Right Hand, Right Knee, Right Chest Wall, and Left Jaw",5,Joint;Neck or Back;Hand;Breast or Chest;Jaw
"Disfigurement and Infertility, Neck and Shoulder Pain",4,Skin;Sexual Dysfunction;Shoulder;Neck or Back
Broken Jaw in Two Places,1,Jaw
Feet Swelling,1,Foot
"Foot, Ankle, Back, and Shoulder Pain, Cervical and Thoracic Strain",4,Foot;Joint;Neck or Back;Shoulder
"Chest and Face Lacerations, Head, Neck, Back, Leg, and Knee Injuries",6,"Face;Breast or Chest;Neck or Back;Head, Skull;Leg;Joint"
Eye Laceration,1,Eye
"Neck, Spine, and Dental Injuries, Cuts and Bruises to Neck, Back, Shoulders, and Arms",5,Spine;Neck or Back;Mouth or Teeth;Shoulder;Arm
Leg Fracture,1,Leg
Pain in Right Shoulder,1,Shoulder
Torn Rotator Cuff,1,Shoulder
"Pain in Lower Back and Left Shoulder, Radiational Pain from Hip to Back",3,"Shoulder;Neck or Back;Hip, Pelvis"
Lumbar Disc Protrusions,1,Neck or Back
Panethesia of the Left Arm,1,Arm
"Cervical and Lumbrosacral Strain, Paralysis of Left Arm and Leg",4,Neck or Back;Spine;Arm;Leg
Arm,1,Arm
"Injuries to Left Eye, Nose, and Thumb, Injuries to Left Rib and Left Knee",5,Eye;Nose;Finger;Joint;Ribs
Psychiatric Disorders,1,General Emotional Problems
"Knee and Back Pain, Limited Mobility in Fingers and Knee",3,Joint;Neck or Back;Finger
Lower Back Injuries,1,Neck or Back
Knee Ligament Damages,1,Joint
Removal of Ovaries,1,Organs of Reproduction
Anxiety,1,General Emotional Problems
Extreme Hyperactivity (Muscle Spasms),1,Unspecified Muscle Injuries
"Symptomatic Left Knee Lumbar Syndrome, Back and Left Leg Pain",4,Joint;Spine;Leg;Neck or Back
Unspecified Injuries Suffered in an Automobile Accident,1,Automobile Accident
"Wrist and Neck Injuries, Injury to Knee and Wrist",3,Wrist;Neck or Back;Joint
Numbness and Pain in Right Arm and Lower Extremities,2,Arm;Leg
"Injuries to Neck, Back, and Arm, Bruised Left Hip and Head",4,"Arm;Neck or Back;Head, Skull;Hip, Pelvis"
"Strain/Sprain to Knee and Sternum, Aggravation of Pre-Existing Neck Arthritis",4,Joint;Sternum;Arthritis;Neck or Back
Broken Arm,1,Arm
"Neck and Shoulder Stiffness, Strain/Sprain to Knee and Sternum",4,Shoulder;Neck or Back;Joint;Sternum
"Paralysis of Left Arm and Leg, Numbness and Tightness in Arm, Leg, and Fingers",3,Arm;Leg;Finger
Vestibular Dysfunction,1,Ear
"Shallower Lacerations up Back and Left Arm Pit, Loss of Almost All Usage of Right Arm, Hand, Leg",4,Neck or Back;Arm;Hand;Leg
Sleep Disturbances,1,Sleeping Disorder
Headaches,1,"Head, Skull"
Positive HIV and AIDS Infection,1,"HIV, AIDS"
"Disfigurement and Infertility, Neck, Shoulder, Head, and Back Pain",5,"Skin;Sexual Dysfunction;Neck or Back;Shoulder;Head, Skull"
Herniated or Ruptured Cervical Disc,1,Spine
"Neck, Arm, Shoulder, and Leg Pain, Bruising on Ear and Neck",5,Arm;Neck or Back;Leg;Shoulder;Ear
Removal of Abscesses from Bowel,1,Intestine
Knee and Shoulder Pain,2,Joint;Shoulder
Contusions and Abrasions on Right Arm,1,Arm
"Knee and Shoulder Pain, Bruises on Face and Knee",3,Joint;Shoulder;Face
Sleeplessness,1,Sleeping Disorder
Labral Tear to the Shoulder,1,Shoulder
Lumbar Spine Injuries,1,Spine
Aggravation of Previous Knee Injury,1,Joint
"Wrongful Death and Survival Action, Lumbosacral Sprain and Right Shoulder Sprain",4,Survival Action;Death;Shoulder;Spine
Strain/Sprain to Knee and Sternum,2,Joint;Sternum
"Head, Neck, Back, Leg, and Knee Injuries",4,"Neck or Back;Head, Skull;Leg;Joint"
Soft-Tissue Injury to the Cervical Spine,1,Spine
Perforated Bowel,1,Intestine
Defect of L3-4,1,Spine
Laceration to the Forehead,1,"Head, Skull"
"Heart Complications-Survival Action, Injuries to Left Arm and Shoulder",4,Heart;Survival Action;Arm;Shoulder
"Symptomatic Left Knee Lumbar Syndrome, Foot, Ankle, Back, and Shoulder Pain",5,Joint;Spine;Foot;Neck or Back;Shoulder
"Burns on Scalp, Reflex Sympathetic Dystrophy in Arm and Hand",4,"Burns;Head, Skull;Arm;Hand"
"Injuries to Hands and Fingers, Arm and Shoulder Injury",4,Finger;Hand;Arm;Shoulder
Right Rib Surgery,1,Ribs
Flare up of Pain in Neck and Testicles,2,Neck or Back;Organs of Reproduction
Traumatic Brain Injury,1,Brain
"Head and Shoulder Injury, Injuries to Neck and Shoulder in the Form of a Calcified Herniation at the C3-4 Level with Impingement on Spinal Cord",4,"Shoulder;Head, Skull;Neck or Back;Spine"
Chest Contusions,1,Breast or Chest
Diminished Sensation in the Right Nipple,1,Breast or Chest
Non-displaced Elbow Fracture,1,Joint
"Neck and Shoulder Injuries, Injuries to Right Knee and Lower Back",3,Shoulder;Neck or Back;Joint
"Severe Injuries to Head and Face, Bruises on Face and Knee",3,"Face;Head, Skull;Joint"
"Aggravation of Existing Neck Stiffness and Right Shoulder Pain, Injuries to Left Rib and Left Knee",4,Shoulder;Neck or Back;Joint;Ribs
Memory Deficit,1,Cognitive Problem
"Shooting Pain in Right Hand, Neck and Shoulder Stiffness",4,Hand;Gunshot;Shoulder;Neck or Back
Knot or Spasm in Right Leg,1,Leg
"Paralysis of Left Arm and Leg, Sharp Pain and Stiffness in Neck Resulting from Low-Impact Vehicle Collision",4,Arm;Leg;Neck or Back;Automobile Accident
Toe Amputation,1,Foot
Small Avulsion Fracture to the Wrist,1,Wrist
Back Pain Radiating Down Right Leg,2,Leg;Neck or Back
"Chronic Radiculopathy Syndrome, Chronic and Irremediable Pain in the Lower Back, Hip, Thigh and Leg",4,"Neck or Back;Nerve System;Hip, Pelvis;Leg"
Neck and Lower Back Injuries,2,Back;Neck or Back
"Gunshot Wound to the Heel, Knee and Shoulder Pain",4,Gunshot;Foot;Joint;Shoulder
Failed Memory,1,Cognitive Problem
Brain Injuries,1,Brain
Tenderness in Neck,1,Neck or Back
Lower Back Sprain,1,Neck or Back
"Injuries to Ankle, Knee, and Lower Back, Disfigurement of Knee and Leg",3,Joint;Neck or Back;Leg
10% Total Body Impairment,1,Disability
Left Scapula Pain,1,Shoulder
"Perforation of Intestine Due to Surgical Removal of Polyps, and Infection of Intestine, Stomach and Back Injuries",4,Intestine;Infection;Stomach;Neck or Back
"Survival Action and Wrongful Death, Laceration of Back and Arm",4,Survival Action;Death;Arm;Neck or Back
Closed Head Injury with Laceration and Acute Non-Depressed Skull Fracture,1,"Head, Skull"
Unconsciousness,1,Cognitive Problem
Lumbar Strain,1,Neck or Back
"Wrongful Death and Survival Action, Dog Bite on Hand and Stomach",5,Survival Action;Death;Hand;Stomach;Multiple Wounds
Cervical Spasm and Strain,1,Neck or Back
Exacerbation of Chronic Neck and Back Condition,1,Neck or Back
"Amputation of Right Lower Leg and Large Portion of Left Foot, Weakness and Loss of Reflex in the Ankle and Foot",3,Leg;Foot;Joint
Ruptured Diaphragm,1,Neck or Back
"Injuries to Head, Back, and Neck, Disfigurement of Knee and Leg",4,"Neck or Back;Head, Skull;Joint;Leg"
"Contusions to Hip, Foot and Toe, Radiational Pain from Hip to Back",3,"Foot;Hip, Pelvis;Neck or Back"
"Increasing Pain, Numbness, and Headaches Due to Neck Injury, Burns to Torso and Leg",5,"Head, Skull;Neck or Back;Leg;Breast or Chest;Abdomen"
"Hip and Leg Contusions, Aggravation of Temporal Mandibular Joint Dysfunction Causing Chronic Migraine Headaches",4,"Leg;Hip, Pelvis;Jaw;Head, Skull"
"Neck, Shoulder, Head, and Back Pain, Neck, Shoulder and Lower Back Pain",3,"Neck or Back;Shoulder;Head, Skull"
"Neck, Chest, and Wrist Pain, Lumbosacral Sprain and Right Shoulder Sprain",5,Breast or Chest;Neck or Back;Wrist;Shoulder;Spine
Right Ear Laceration Requiring Stitches,1,Ear
"Permanent Paralysis From the Waist Down, Severe Pain in Neck, Back, and Shoulders",3,Paralysis;Neck or Back;Shoulder
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Burns to Hand and Feet",6,Burns;Hand;Stomach;Leg;Abdomen;Foot
Knee and Back Pain,2,Joint;Neck or Back
"Injury to Head and Knees, Lost Tips of Fingers, Nose, and Part of Nostrils",4,"Joint;Head, Skull;Finger;Nose"
"Fractured Skull and Pelvis, Broken Nose and Cheekbone",4,"Head, Skull;Hip, Pelvis;Nose;Face"
Compensatory Left Sacroiliac Joint Dysfunction With Sciatic Nerve Radiculopathy,2,Neck or Back;Nerve System
"Soft Tissue Injuries to the Neck, Back, and Shoulder, Injuries to Head, Back, and Neck",3,"Neck or Back;Shoulder;Head, Skull"
Decreased Range of Motion in the Lumbar Spine,1,Spine
"Dog Bite (Arm), Unidentified Lower Back and Shoulder Pain",4,Arm;Single Wound;Shoulder;Neck or Back
"Peroneal Palsy/Nerve Damage Sustained During Surgery, Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains",4,Leg;Nerve System;Neck or Back;Shoulder
"Burns to Back and Arm, Tenderness Between Ribs and Lower Spine",4,Arm;Neck or Back;Ribs;Spine
Torn Left Medial Meniscus and Mild Degenerative Joint Disease,2,Spine;Joint
Back Pain Traveling Down Leg,2,Leg;Neck or Back
"Cut Hand and Subsequent Infection, Contusions of Right Knee and Chest Wall",4,Hand;Infection;Joint;Breast or Chest
Sprained Neck,1,Neck or Back
"Contusions to Hip, Foot and Toe",2,"Foot;Hip, Pelvis"
"Loss of Almost All Usage of Right Arm, Hand, and Leg, Significant Pain in Left Arm, Shoulder and Hand",4,Arm;Hand;Leg;Shoulder
Vision Injury,1,Eye
"Right Subclavian Central Line and Trachostomy, Knee and Shoulder Pain",4,Clavicle;Trachea;Joint;Shoulder
"Amputation of Right Lower Leg and Large Portion of Left Foot, Survival and Wrongful Death Action",4,Leg;Foot;Survival Action;Death
Aggravated Preexisting Degenerative Joint Disease,1,Joint
Hematoma,1,Bleeding
Clavicle Fracture,1,Clavicle
Cervical and Upper Back Sprain,1,Neck or Back
Sprained Ankle,1,Joint
Bruised Right Knee,1,Joint
"Neck, Back, and Finger Sprains, Permanent Disfigurement and Disability",4,Neck or Back;Finger;Disability;Skin
Bruised Knee,1,Joint
"Pain in Lower Back and Left Shoulder, Kyphosis Which Causes Cervical Curving",3,Shoulder;Neck or Back;Spine
"Temporomandibular Joint Dysfunction (Jaw and Neck Pain), Increasing Pain, Numbness, and Headaches Due to Neck Injury",3,"Jaw;Neck or Back;Head, Skull"
"Abrasions to Knees, Arms, Neck, and Face, Non-displaced Fracture of the Radial Head of Right Arm",5,"Arm;Neck or Back;Joint;Hand;Head, Skull"
"Strain/Sprain to Knee and Sternum, Back and Left Leg Pain",4,Joint;Sternum;Leg;Neck or Back
Ruptured Disk,1,Spine
Amputated Left Finger,1,Finger
"Paralysis of Left Arm and Leg, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",4,Arm;Leg;Shoulder;Lip
"Neck and Shoulder Injuries, Neck and Shoulder Pain",2,Shoulder;Neck or Back
"Severely Lacerated Foot and Accompanying Infection, Cut Hand and Subsequent Infection",3,Foot;Infection;Hand
Right Knee Sprain,1,Joint
Aggravation of Lower Back Defect,1,Neck or Back
Fracture of Left Acetabulum,1,Wrist
Windshield Glass Embedded in Forehead and Arm,2,"Arm;Head, Skull"
Herniated Lumbar Disk,1,Neck or Back
"Bruises on Face and Knee, Contusions on Hip, Back, and Leg",5,"Face;Joint;Leg;Neck or Back;Hip, Pelvis"
Unspecified Injuries from Car Collision,1,Automobile Accident
"Neck, Shoulder and Lower Back Pain, Neck and Lower Back Injuries",3,Shoulder;Neck or Back;Back
Malaise/Fatigue,1,General Emotional Problems
"Forearm, Neck, and Shoulder Injuries, Kyphosis Which Causes Cervical Curving",4,Shoulder;Arm;Neck or Back;Spine
"Unspecified Neck and Shoulder Injuries, Compensatory Left Sacroiliac Joint Dysfunction With Sciatic Nerve Radiculopathy",3,Shoulder;Neck or Back;Nerve System
Contusions and Lacerations to Forehead,1,"Head, Skull"
"Partial Loss of Smell and Taste, Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin",7,Nose;Mouth or Teeth;Burns;Hand;Stomach;Leg;Abdomen
Aggravation of Pre-Existing Right Knee Injury,1,Joint
Neck and Lower Back Pain,1,Neck or Back
"Injury to Knee and Wrist, Disfigurement of Knee and Leg",3,Joint;Wrist;Leg
"Kyphosis Which Causes Cervical Curving, Neck and Shoulder Injury",3,Spine;Neck or Back;Shoulder
"Stomach and Back Injuries, Nose, Lip, Temple, and Neck Injuries",5,"Stomach;Neck or Back;Nose;Mouth or Teeth;Head, Skull"
Bulging in Lumbar Disc at L5 Level,1,Spine
Cutting,1,Skin
"Reflex Sympathetic Dystrophy in Arm and Hand, Injury to Forehead, Knees, and Clavicle",5,"Arm;Hand;Head, Skull;Joint;Clavicle"
Lip Injury,1,Mouth or Teeth
"Wrist and Hand Injuries, Injury to Thumb, Knees, and Thigh",4,Hand;Wrist;Joint;Leg
Bruised Liver,1,Liver
Spent Three Months in Burn Unit,1,Burns
Carpal Tunnel Syndrome on Right Side,1,Wrist
Rotator Cuff Tendinosis,1,Shoulder
"Injury to Thumb, Knees, and Thigh, Neck, Arm, Shoulder, and Leg Pain",6,Joint;Wrist;Leg;Arm;Neck or Back;Shoulder
"Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains, Injury to Forehead, Knees, and Clavicle",5,"Neck or Back;Shoulder;Head, Skull;Joint;Clavicle"
"Amputation of Two Fingers on Right Hand, Back Pain from Kidneys",4,Finger;Hand;Kidney;Neck or Back
"Shooting Pain in Right Hand, Abrasions to Knees, Arms, Neck, and Face",5,Hand;Gunshot;Arm;Neck or Back;Joint
"Dog Bite Injuries to Arm and Back, Knee, Neck and Back Injuries",4,Arm;Neck or Back;Multiple Wounds;Joint
"Cervical and Shoulder Sprains, Fractures of Humerus, Wrist, and Ankle",5,Shoulder;Neck or Back;Joint;Arm;Wrist
"Bruised Lung, Kidney, and Liver, Cut Hand and Subsequent Infection",5,Kidney;Lung;Liver;Hand;Infection
Sharp Pain and Stiffness in Neck Resulting from Low-Impact Vehicle Collision,2,Neck or Back;Automobile Accident
Carpal Tunnel Syndrome on Right Side,1,Wrist
Blunt Head Trauma,1,"Head, Skull"
"Soft Tissue Injury to Trapezius Muscle, Injury to Knee and Wrist",4,Soft Tissue;Shoulder;Joint;Wrist
"Moderate Muscular Injury to Neck and Shoulder, Sharp Pain and Stiffness in Neck Resulting from Low-Impact Vehicle Collision",3,Shoulder;Neck or Back;Automobile Accident
"Contusions to the Head and Thigh, Pain in Chest, Shoulder, and Left Arm",5,"Head, Skull;Leg;Arm;Breast or Chest;Shoulder"
"Broken Teeth and Exposed Nerves, Weakness and Loss of Reflex in the Ankle and Foot",4,Mouth or Teeth;Nerve System;Joint;Foot
"Prolonged Injury to Right Foot and Ankle, Cervical and Thoracic Strain",4,Joint;Foot;Neck or Back;Shoulder
"Knee and Back Pain, Knee, Neck and Back Injuries",2,Joint;Neck or Back
Facial Bruising,1,Face
Right Chin Pain,1,Jaw
"Pain in Chest, Shoulder, and Left Arm, Unspecified Cervical and Lumbar Injuries",5,Arm;Breast or Chest;Shoulder;Neck or Back;Spine
Subtalar Joint Fusion,1,Joint
"Injury to Thumb, Knees, and Thigh, Severe Pain in Neck, Back, and Shoulders",5,Joint;Finger;Leg;Shoulder;Neck or Back
Post-traumatic Headaches,1,"Head, Skull"
Burns to Torso and Leg,4,Leg;Breast or Chest;Neck or Back;Abdomen
"Cervical and Shoulder Sprains, Tenderness Between Ribs and Lower Spine",4,Shoulder;Neck or Back;Ribs;Spine
Nerve Root Impingement,1,Nerve System
"Bruised Left Hip and Head, Wrongful Death and Survival Action",4,"Head, Skull;Hip, Pelvis;Survival Action;Death"
"Back, Neck, and Shoulder Injuries, Musculoligamentous Strains of the Neck and Shoulder",2,Shoulder;Neck or Back
Emotional and Mental Anxiety,1,General Emotional Problems
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Cervical and Lumbar Sprain/Strain",7,Burns;Hand;Stomach;Leg;Abdomen;Neck or Back;Spine
"Face and Eye Contusions, Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal",5,Eye;Face;Nerve System;Hand;Wrist
"Severely Lacerated Foot and Accompanying Infection, Burn to Left Eye",4,Foot;Infection;Eye;Burns
Migraine Headaches,1,"Head, Skull"
"Lower Back and Chest Pains, Lacerations of the Eye and Face",4,Back;Breast or Chest;Eye;Face
Scratches on Left Arm,1,Arm
Food Poisoning,1,Food Poisoning
Permanent Arm Injury,1,Arm
Lack of Mobility,1,Other Damages
"Contusions to Hip, Foot and Toe, Shoulder and Knee Injury",4,"Foot;Hip, Pelvis;Joint;Shoulder"
"Neck, Spine, and Dental Injuries, Injuries to Gum and Lip",4,Spine;Neck or Back;Mouth or Teeth;Lip
Severed Lingual Nerve,1,Nerve System
"Cervical and Lumbar Sprain/Strain, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",5,Neck or Back;Spine;Shoulder;Mouth or Teeth;Arm
"Glass Embedded in Cheek and Eye, Severe Injuries to Head and Face",3,"Eye;Face;Head, Skull"
Mild Concussion,1,"Head, Skull"
"Injuries to Back and Buttocks, Flare up of Pain in Neck and Testicles",3,"Neck or Back;Hip, Pelvis;Organs of Reproduction"
Mild Whiplash,1,Whiplash
"Back, Neck, and Shoulder Injuries, Injury to Thumb, Knees, and Thigh",5,Shoulder;Neck or Back;Joint;Wrist;Leg
Aggravation of Pre-existing Asymptomatic Herniated Cervical Disc at the C5-6 Disc Level,1,Spine
Anterior Cervical Fusion with Removal of Ruptured Disc,1,Spine
"Injury to Right Knee and Back, Windshield Glass Embedded in Forehead and Arm",4,"Joint;Neck or Back;Arm;Head, Skull"
"Survival and Wrongful Death Action, Neck and Hand Sprain",4,Survival Action;Death;Neck or Back;Hand
"Injuries to Left Rib and Left Knee, Injuries to Ankle, Knee, and Lower Back",3,Joint;Ribs;Neck or Back
"Fractures to Fibula, Medial Malleolus and Tibula",2,Joint;Leg
"Shooting Pain in Right Hand, Lumbosacral Sprain and Right Shoulder Sprain",4,Hand;Gunshot;Shoulder;Spine
"Broken Small Finger, Thumb, and Nose, Third Degree Burns on Buttocks",4,"Finger;Nose;Burns;Hip, Pelvis"
Mild Whiplash Injury,1,Whiplash
"Heart Complications-Survival Action, Knee and Back Pain",4,Heart;Survival Action;Joint;Neck or Back
Ankle Sprain and Contusion,1,Joint
"Bruises on Face and Knee, Mental and Physical Pain and Suffering from Dorsal Column Stimulator",4,Face;Joint;Spine;General Emotional Problems
"Soft Tissue Injuries of the Neck and Chest, Dog Bite on Hand and Stomach",5,Neck or Back;Breast or Chest;Hand;Stomach;Multiple Wounds
"Neck, Arm, Shoulder, and Leg Pain, Cervical Myofascial Pain on the Right Side",5,Arm;Neck or Back;Leg;Shoulder;Myofascial Pain Syndrome
"Neck and Shoulder Injuries, Fusion of Femur Neck to Hip Joint",3,"Shoulder;Neck or Back;Hip, Pelvis"
"Compensatory Left Sacroiliac Joint Dysfunction With Sciatic Nerve Radiculopathy, Renal, Cardiac, and Pulmonary Contusions",5,Neck or Back;Nerve System;Kidney;Heart;Lung
"Face and Eye Contusions, Knee and Back Pain",4,Eye;Face;Joint;Neck or Back
Soft Tissue Lumbar Injuries,1,Neck or Back
"Injury to Right Knee and Back, Lacerations of the Eye and Face",4,Joint;Neck or Back;Eye;Face
"Neck and Shoulder Stiffness, Heart Complications-Survival Action",4,Shoulder;Neck or Back;Heart;Survival Action
"Burns to Back and Arm, Temporomandibular Joint Dysfunction and Arthritis",4,Arm;Neck or Back;Arthritis;Jaw
Unspecified Injury,1,Unspecified
Cervical Sprain,1,Neck or Back
Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip,3,Shoulder;Mouth or Teeth;Arm
"Closed-Head Injury with Permanent Cognitive Dysfunction, Broken Nose and Cheekbone",4,"Head, Skull;Cognitive Problem;Nose;Face"
Head Laceration,1,"Head, Skull"
"Fusion of Femur Neck to Hip Joint, Severe Pain in Neck, Back, and Shoulders",3,"Neck or Back;Hip, Pelvis;Shoulder"
Aggravation of Pre-Existing Neck Arthritis,2,Arthritis;Neck or Back
"Lumbosacral Sprain and Right Shoulder Sprain, Laceration of Back and Arm",4,Shoulder;Spine;Arm;Neck or Back
"Injury to Thumb, Knees, and Thigh, Knee and Back Pain",4,Joint;Finger;Leg;Neck or Back
Pain,1,Unspecified
Upper and Mid-Back Sprain,1,Neck or Back
"Soft Tissue Injury of Neck and Shoulder Area, Injury to Thumb, Knees, and Thigh",6,Soft Tissue;Neck or Back;Shoulder;Joint;Wrist;Leg
"Burned Right Arm, Injuries to Shoulder, Clavicle, and Ribs",5,Arm;Burns;Ribs;Shoulder;Neck or Back
Loss of Eyesight in Right Eye,1,Eye
Slight Posteriolateral Bulging in Cervical and Lumbar Spine,1,Neck or Back
Broken Back,1,Neck or Back
Fractured Right Ankle,1,Joint
"Left Thigh and Knee Sprain/Contusion, Knee and Shoulder Pain",3,Joint;Leg;Shoulder
